municipality,province,region,income_class,population,area_km2,pop_density_per_km2,solar_irradiance_kwh_m2_day,solar_norm,income_score,pop_density_norm,geo_score,final_score,web_score,tier,assessment,opportunities,risks,lat,lon
Dolores,Abra,Cordillera Administrative Region (CAR),3rd,11967,44.76,267.3,4.871,0.3635,4.0,0.3526,0.4228,0.466,0.5669,MEDIUM,"Dolores, Abra, presents a mixed profile for solar installation. While its solar irradiance is below average for the country and it is a rural, low-commercial municipality, its relatively higher income score for its class suggests pockets of economic resilience, likely from agriculture or remittances, which could support investment in solar for energy cost savings and reliability amid grid instability.","[""Target agricultural processing facilities or community cooperatives (e.g., rice mills) with solar + storage systems to offset high diesel costs and ensure uninterrupted operation, leveraging national Green Energy Options Program incentives.""]","[""The complete absence of commercial/industrial anchors and very low price level indicate a weak local economy with limited capital, making it difficult to finance upfront solar installation costs without significant subsidies or innovative payment schemes.""]",17.6485978,120.7081646
Danglas,Abra,Cordillera Administrative Region (CAR),3rd,4372,176.15,24.8,5.023,0.4921,4.0,0.1226,0.4217,0.5065,0.7044,MEDIUM,"Danglas, as a rural and mountainous municipality in Abra with a small population, presents a challenging but not negligible market for solar. Its moderate solar resource is counterbalanced by limited commercial anchor points and a population too small to generate significant rooftop demand; however, recent national policy pushes and financing for solar in the Philippines could create a pathway for targeted government or institutional installations.","[""Leverage the national momentum and potential financing (as referenced in the news) to target Danglas' own municipal government facilities, schools, or health centers for rooftop solar, aligning with the reported legislative push for solar in government buildings.""]","[""The extremely low population density and rural economic base (with businesses showing a low price level) severely limit the addressable market for commercial or industrial solar projects, making any large-scale investment economically unviable without significant subsidies.""]",17.6931235,120.6644456
Lagangilang,Abra,Cordillera Administrative Region (CAR),3rd,14577,90.81,160.5,4.871,0.3635,4.0,0.3027,0.4128,0.4931,0.6806,MEDIUM,"Lagangilang, Abra is a rural, 3rd-class municipality with moderate solar potential, but its low commercial activity (price level 0) and modest population suggest the primary market is not urban commercial but rather agricultural and residential users with grid-reliance issues. The moderate irradiance and income score indicate that solar could be viable for cost-sensitive users if supported by financing or subsidies, aligning with national NREP targets for rural electrification.","[""Develop solar-powered irrigation systems or post-harvest processing facilities for local farmers, leveraging Abra's agricultural base and the national push for renewable energy in off-grid/agricultural applications.""]","[""Weak local grid infrastructure and low population density could make grid-tied projects economically unviable, while the municipality's low income classification may limit private adoption without significant subsidy support.""]",17.6126919,120.7336564
Bucay,Abra,Cordillera Administrative Region (CAR),3rd,17775,99.64,178.4,4.862,0.3566,4.0,0.3131,0.4124,0.5019,0.7106,MEDIUM,"Bucay presents a modest opportunity, as its relatively higher income classification (0.60) for the area suggests some commercial customers could afford solar solutions, and regional renewable energy investment news aligns with national trends. However, its low population score and rural nature indicate a limited addressable market for both residential and commercial installations.","[""Target the existing commercial/industrial anchors (5 found) with rooftop solar, leveraging the ADB/Buskowitz deal model to address energy costs for local businesses.""]","[""The extremely small and dispersed population (score 0.31) creates a high customer acquisition cost, potentially making pure residential solar projects financially unviable without substantial subsidies.""]",17.5387139,120.7187769
Lacub,Abra,Cordillera Administrative Region (CAR),2nd,3649,248.64,14.7,4.629,0.1601,5.0,0.0735,0.4083,0.4178,0.44,MEDIUM,"Lacub's high income score (0.80) suggests greater local financial capacity or remittance flows than its small, rural population might imply, presenting a potential customer base for solar. However, the very low solar irradiance score (0.16) is a critical constraint, meaning systems would produce significantly less power than in sunnier regions, fundamentally impacting economic viability. The nearby commercial anchors and national trends toward C&I solar financing (like the ADB deal) are positive signals, but likely too distant to be direct drivers in this remote municipality.","[""Leverage national C&I solar financing programs (like the ADB-Buskowitz model) to target the few commercial or institutional anchors in Lacub for rooftop solar, helping them offset high local electricity costs.""]","[""The extremely low solar irradiance (0.16 score) makes standard solar economics uncompetitive, risking poor system performance and customer returns, which could damage reputation in a small community.""]",17.6644278,120.9445433
Manabo,Abra,Cordillera Administrative Region (CAR),3rd,11087,77.37,143.3,4.855,0.35,4.0,0.2917,0.4058,0.4569,0.5762,MEDIUM,"Manabo, as a rural, 3rd-class municipality in Abra, presents a modest market where the relatively favorable income score (0.60) suggests some purchasing power, but the low solar irradiance (0.35) and very low population density significantly limit the scale of potential residential and small commercial projects. The strong national growth narrative for solar, including government programs, provides a supportive backdrop, but the lack of commercial/industrial anchors and limited local economic activity indicate demand will be heavily concentrated in individual households and small farms.","[""Target agricultural processing operations (e.g., rice mills, corn dryers) and communal water systems in Manabo's barangays, which are consistent with its rural economy and could utilize the Green Energy Options Program to reduce operating costs.""]","[""The combination of low solar irradiance (among the lowest in the dataset) and a small, dispersed population may result in insufficient demand density to support a sustainable installation and service operation, leading to high customer acquisition costs.""]",17.4324164,120.7044421
La Paz,Abra,Cordillera Administrative Region (CAR),4th,16014,52.6,304.4,5.023,0.4921,3.0,0.3654,0.3578,0.4689,0.7281,MEDIUM,"La Paz, Abra presents a typical off-grid or weak-grid rural market opportunity in the Cordillera region, with moderate solar resource potential (0.49) but constrained by low local economic activity and affordability, as indicated by its low income classification and minimal commercial anchors. The broader regional momentum, signaled by ADB financing for commercial/industrial solar in the Philippines, is positive but may bypass this specific municipality without targeted micro-grid or community solar solutions.","[""Developing a community-based solar micro-grid or solar home system leasing program tailored to the low-income, rural demographic, potentially leveraging national renewable energy programs or NGO partnerships for subsidy support.""]","[""The very low local economic activity and price level (score 0) indicate a high risk of low customer ability to pay, potentially making projects unbankable without external financing or subsidies, and the remote location could increase installation and maintenance costs significantly.""]",17.6707707,120.6836908
Langiden,Abra,Cordillera Administrative Region (CAR),4th,3457,89.76,38.5,5.146,0.5958,3.0,0.1644,0.3539,0.4587,0.7031,MEDIUM,"Langiden presents a challenging but not hopeless case for solar installation; its moderate solar irradiance is a positive technical factor, but its very small, low-income rural population significantly limits the potential for residential or commercial-scale projects. The absence of specific local economic data or news suggests solar penetration is currently minimal, meaning the market is untested.","[""Target the small number of identified commercial/industrial anchors (the 4 nearby) and potentially municipal buildings with rooftop solar solutions, leveraging the high national interest in renewable energy financing as a possible subsidy or partnership angle.""]","[""The extremely low population score (0.16) and low income classification (4th class) severely restrict the addressable market, making it difficult to achieve sufficient scale for project profitability without external funding or very creative financing models.""]",17.575718,120.5643653
Peñarrubia,Abra,Cordillera Administrative Region (CAR),4th,7003,39.39,177.8,5.014,0.4839,3.0,0.3127,0.3444,0.4528,0.7056,MEDIUM,"Peñarrubia's rural and mountainous geography presents a challenging but viable market, where the moderate solar irradiance and existing small commercial base could be leveraged for reliable off-grid or hybrid solar solutions to power local businesses. The municipality's 4th-class income status and small population limit the scale of large commercial projects, making the economics more suitable for smaller, targeted installations.","[""Target the existing cluster of well-rated local businesses (e.g., small shops, eateries, services) with affordable, modular solar packages to help them reduce electricity costs and gain energy independence, leveraging the national incentives highlighted in the news.""]","[""The extremely small customer base and low price level of existing businesses indicate limited capital for upfront investment, making project financing and achieving viable sales volume a significant challenge.""]",17.5530252,120.6510042
Boliney,Abra,Cordillera Administrative Region (CAR),3rd,3778,178.55,21.2,4.702,0.2214,4.0,0.1075,0.324,0.4066,0.5994,LOW,"Boliney is a very small, remote rural municipality in Abra with a limited commercial base, which aligns with its low population and commercial anchor scores. The standout issue is its disproportionately low solar irradiance score (0.22) for the Cordillera region, suggesting local topographical shading or a microclimatic anomaly that significantly reduces solar generation potential compared to peers. The moderate income score (0.60) hints at relative economic stability, possibly from agriculture or remittances, but not from industrial activity.","[""The presence of ADB-funded financing for rooftop solar on commercial and industrial buildings presents a targeted opportunity. Boliney's single commercial anchor could be a pilot site for such a project, demonstrating feasibility in a rural, off-grid or weak-grid context.""]","[""The primary risk is the fundamental mismatch between the extremely low solar irradiance score and the core requirement for efficient solar power generation. This would make standard solar panel installations economically unviable and threaten any investment based on typical regional output assumptions.""]",17.3788876,120.8210306
San Juan,Abra,Cordillera Administrative Region (CAR),4th,10777,68.3,157.8,4.871,0.3635,3.0,0.3011,0.2999,,,,,,,17.684055,120.7329137
Licuan-Baay,Abra,Cordillera Administrative Region (CAR),3rd,4301,275.17,15.6,4.629,0.1601,4.0,0.0793,0.2969,0.4428,0.6781,MEDIUM,"Licuan-Baay presents a challenging case for solar deployment as its very low solar irradiance score (0.16) indicates poor solar resource potential, which is a critical constraint. However, its moderate income score (0.60) relative to its rural setting and the presence of some commercial anchors suggest there may be viable, small-scale opportunities for solar among local businesses or institutions rather than large utility projects. The extremely small population (4,301) severely limits the addressable market for residential installations.","[""Targeting the 3 identified commercial/industrial anchors (likely small businesses or municipal buildings) with rooftop solar and energy efficiency solutions could be viable, especially given the national trend of falling solar LCOE and potential energy cost savings.""]","[""The primary risk is the extremely low solar irradiance score (0.16), which fundamentally undermines the technical and economic feasibility of most solar projects, making this municipality a poor candidate for significant investment compared to higher-scoring areas.""]",17.609076,120.9047821
Malibcong,Abra,Cordillera Administrative Region (CAR),3rd,4167,259.3,16.1,4.622,0.1545,4.0,0.0819,0.2954,0.4401,0.6725,LOW,"Malibcong presents a challenging case for solar penetration due to its notably low solar irradiance score for the Cordillera region, which likely reflects high cloud cover or mountainous shading, despite its moderate income level suggesting some commercial capacity to invest. The limited population and rural nature mean the total addressable market is very small, primarily hinging on the handful of identified commercial anchors rather than residential density. The generic positive national news on solar incentives does not offset the municipality's specific geographical and demographic constraints.","[""The presence of 3 commercial/industrial anchors (avg rating 4.72) offers a targeted opportunity for commercial rooftop solar installations, where businesses with reliable consumption could benefit from national incentives to offset energy costs.""]","[""The core risk is the very low solar irradiance (score 0.15), which significantly undermines the financial case and payback period for any installation, making projects likely unviable without substantial subsidies or extremely high local grid electricity prices.""]",17.5631986,120.9893255
Lagayan,Abra,Cordillera Administrative Region (CAR),4th,5154,133.35,38.6,4.88,0.371,3.0,0.1647,0.2753,0.4516,0.7056,MEDIUM,"Lagayan, as a rural and low-income municipality in mountainous Abra, presents a challenging market for mainstream solar adoption due to its small, dispersed population and relatively low solar irradiance for the country. However, its moderate income score suggests a segment of residents or local businesses might have the capacity to invest if presented with a compelling value proposition. The strong national market tailwinds and positive signals from nearby businesses provide a foundation, but growth will be incremental and likely tied to specific anchor institutions.","[""Targeting the municipality's identified commercial anchors (e.g., the municipal hall, schools, or the few larger businesses) with a tailored commercial rooftop solar program to demonstrate savings and build local awareness, leveraging their high ratings as potential community influencers.""]","[""The very low population score (0.16) and dispersed rural nature severely limit the addressable market for residential installations, making it difficult to achieve economies of scale and rapid sales growth, which could strain operational profitability.""]",17.720826,120.7059017
Sallapadan,Abra,Cordillera Administrative Region (CAR),4th,6328,132.51,47.8,4.855,0.35,3.0,0.185,0.272,0.4523,0.7156,MEDIUM,"Sallapadan is a small, rural, low-income municipality in the mountainous Cordillera region, presenting a challenging environment for conventional grid-tied solar due to low population density and limited local commercial demand. However, its isolation from the main grid and the presence of community anchors (like schools or health centers) identified in its commercial data suggest a strong potential for decentralized solar and microgrid solutions to provide reliable power. The current opportunity lies in targeting these essential facilities rather than the general residential or commercial market.","[""Develop a specialized offering for \""energy resilience\"" packages (e.g., solar + battery) targeted at key community institutions (Barangay halls, schools, rural health units) in Sallapadan that suffer from grid unreliability.""]","[""The extremely small population (6,328) and low-income classification severely limit the addressable market size and potential revenue, making it difficult to achieve economies of scale and ensuring project financial viability without subsidies.""]",17.4552536,120.7599735
Bucloc,Abra,Cordillera Administrative Region (CAR),4th,2264,57.93,39.1,4.704,0.223,3.0,0.1658,0.2237,,,,,,,17.4414002,120.8578596
Daguioman,Abra,Cordillera Administrative Region (CAR),4th,1773,93.44,19.0,4.631,0.162,3.0,0.0973,0.1887,,,,,,,17.4586787,120.9258712
Santiago,Agusan del Norte,Region XIII (Caraga),1st,33877,196.81,172.1,5.024,0.4925,6.0,0.3096,0.6843,0.6367,0.5256,MEDIUM,"Santiago, Agusan del Norte, presents a mixed but intriguing profile for solar development. Its high income classification (1st class) is atypical for a rural municipality and suggests a strong local economic base—likely from agriculture or remittances—that could support residential and commercial solar adoption. However, its moderate solar irradiance and rural, low-density character mean it is not a prime site for large-scale utility solar projects compared to other regions.","[""Leverage the municipality's strong income level to target high-usage agricultural facilities (like rice mills, cold storage, or irrigation pumps) and affluent households for distributed solar systems, potentially paired with battery storage to address grid stability issues common in rural Mindanao.""]","[""The absence of major commercial/industrial anchors (malls, factories) in the web data severely limits the pool of large, anchor-customer projects that could drive economies of scale for a local installer, making the market reliant on fragmented, smaller-scale sales.""]",9.2654938,125.5602995
Tubay,Agusan del Norte,Region XIII (Caraga),1st,26463,94.74,279.3,4.941,0.4225,6.0,0.3569,0.6693,0.6387,0.5675,MEDIUM,"Tubay, Agusan del Norte presents a compelling high-income rural market for solar installations, as its top-tier income classification suggests strong purchasing power among households and potential agro-industrial users despite its rural character. While its solar irradiance is moderate for the Philippines, the high composite geo score and favorable national policy news indicate a viable environment for distributed solar projects targeting affluent residents or small commercial establishments. However, the absence of major commercial/industrial anchors limits large-scale project opportunities.","[""Target high-income residential households and agricultural processing facilities in Tubay for rooftop solar and hybrid systems, leveraging the municipality's top income class and rural setting where grid reliability may be a concern.""]","[""The rural nature and lack of commercial anchors mean the potential customer base is smaller and more dispersed, making sales and service logistics more costly and potentially limiting overall project scale compared to more urbanized areas.""]",9.1650676,125.5226912
Nasipit,Agusan del Norte,Region XIII (Caraga),1st,46382,107.91,429.8,4.854,0.3496,6.0,0.3992,0.6522,0.6423,0.6194,MEDIUM,"Nasipit presents a mixed profile for solar deployment; its notable strength is its 1st-class income classification, suggesting higher commercial/residential purchasing power, supported by the recent PHP19.9M renewable energy facility project which indicates local government engagement. However, its low solar irradiance score (0.35) and rural setting, with only two commercial/industrial anchors, mean the primary opportunity likely lies in high-value residential or small commercial retrofits rather than large-scale industrial projects.","[""Target the 1st-class income households and existing businesses for premium residential rooftop solar and small commercial systems, leveraging the recent local renewable energy project as a proof point to build community awareness and trust.""]","[""The combination of low commercial/industrial anchor density (score 0.40) and the lowest-tier average business price level (0) severely limits the addressable market for large-scale, high-revenue installations, focusing the market primarily on the smaller residential segment.""]",8.9884377,125.3408268
Buenavista,Agusan del Norte,Region XIII (Caraga),1st,70691,436.6,161.9,4.854,0.3496,6.0,0.3036,0.6331,0.6805,0.7913,MEDIUM,"Buenavista, as a 1st-class urban municipality immediately adjacent to Butuan City, has strong economic fundamentals and commercial activity that create a viable market for solar installations targeting businesses and higher-income households. However, its relatively moderate solar irradiance (0.35 score) means system performance must be carefully designed and marketed for reliability rather than maximum yield, requiring customer education on long-term value over pure efficiency.","[""Develop a targeted commercial rooftop solar program for the 7 identified commercial/industrial anchors, leveraging the high local income classification and business density to offer attractive payback periods.""]","[""The relatively low solar irradiance score could lead to lower-than-expected energy production if systems are not properly sized and managed, potentially damaging customer satisfaction and the company's reputation in this concentrated market area.""]",8.9744864,125.4090875
Jabonga,Agusan del Norte,Region XIII (Caraga),2nd,25937,272.26,95.3,5.109,0.5646,5.0,0.2519,0.5855,0.5839,0.58,MEDIUM,"Jabonga, as a rural municipality in Agusan del Norte with a 2nd-class income classification, presents a moderate opportunity for solar adoption. Its solar irradiance is average for the region, and the high income score relative to peers suggests potential purchasing power for small-scale commercial or residential systems, though the lack of large commercial anchors limits rooftop solar scale. The referenced ANECO grid plans indicate potential infrastructure upgrades, but the area's agricultural focus means adoption will likely be gradual and community-based.","[""Target agricultural cooperatives or irrigation associations for off-grid or hybrid solar systems to power pumps and processing equipment, leveraging the relatively higher income capacity.""]","[""The municipality's reliance on the Agusan del Norte Electric Cooperative (ANECO) grid means project success is partially dependent on the cooperative's grid stability and interconnection policies, which could face regulatory or technical delays.""]",9.3425441,125.5163749
Las Nieves,Agusan del Norte,Region XIII (Caraga),1st,32402,192.61,168.2,4.671,0.1955,6.0,0.3073,0.5799,0.5672,0.5375,MEDIUM,"Las Nieves, Agusan del Norte, presents a mixed-case for solar deployment. Its status as a 1st-class municipality indicates relatively higher local purchasing power, but its notably low solar irradiance score (0.20) significantly undermines the technical and financial appeal of solar panels in the area. The absence of commercial/industrial anchors and the web data's heavy focus on schools suggest an economy driven by public services and small-scale activity, not energy-intensive businesses.","[""Partner with the local government or Department of Education to pilot solar installations on public school buildings, leveraging their visibility and the municipality's income class to demonstrate value despite lower irradiance.""]","[""The primary risk is the low solar resource potential; the economic case for residential or commercial solar is weak compared to other regions, potentially leading to slow customer adoption and higher perceived cost-per-kilowatt-hour.""]",8.7359578,125.6015136
Kitcharao,Agusan del Norte,Region XIII (Caraga),3rd,22671,142.96,158.6,5.143,0.5925,4.0,0.3016,0.4927,0.5438,0.6631,MEDIUM,"Kitcharao's moderate solar irradiance and positive national policy momentum create a technically viable opportunity, but its rural character, small population base, and limited commercial anchors suggest the addressable market is primarily agricultural and small institutional rather than large-scale commercial. The positive business ratings in the vicinity indicate a baseline of community trust that could support localized solar ventures.","[""Developing solar-powered irrigation systems or community microgrids tailored to Kitcharao's agricultural sector, leveraging the existing business ecosystem for local sales and service partnerships.""]","[""Low local capital availability and the 3rd class income classification could severely limit residential and commercial uptake, making projects reliant on external financing or subsidy programs.""]",9.4554207,125.5755314
City of Cabadbaran,Agusan del Norte,Region XIII (Caraga),3rd,82343,334.48,246.2,4.941,0.4225,4.0,0.3446,0.4418,0.5134,0.6806,MEDIUM,"As the capital of Agusan del Norte, Cabadbaran City functions as an administrative and commercial hub for the region, which aligns with its ""Urban"" classification and moderate income score. While its solar irradiance is only average for the Philippines, its role as a growing center with active commercial anchors suggests a viable market for rooftop solar, particularly for businesses and higher-income households seeking to offset grid dependence.","[""Target the commercial/industrial anchors and growing business sector (indicated by the 20 nearby businesses with high ratings) with tailored solar solutions, positioning them as resilience assets against intermittent power supply common in Mindanao.""]","[""Grid stability and infrastructure in the Caraga region can be a challenge; widespread solar adoption could be hampered if the local distribution utility's grid is not ready to manage two-way power flow or if policy support for net metering is inconsistent.""]",9.1232854,125.5322317
Carmen,Agusan del Norte,Region XIII (Caraga),3rd,23304,129.18,180.4,4.892,0.3815,4.0,0.3142,0.4214,0.466,0.57,MEDIUM,"Carmen, Agusan del Norte presents a modest but viable solar opportunity typical of rural agricultural municipalities in Mindanao, with its primary appeal lying in powering local farm operations and small businesses rather than dense urban load. The moderate income score (0.60) suggests some commercial purchasing power, likely from agricultural trade and government services, while the low population and geo scores confirm it is not a high-demand urban center.","[""Develop targeted off-grid or grid-tied solar solutions for the agricultural sector, specifically for irrigation pumps, rice mills, and cold storage facilities serving Carmen's farming communities, potentially supported by the rural electrification programs mentioned in the national energy targets.""]","[""The municipality's rural classification and lack of commercial/industrial anchors mean limited anchor customers for larger projects, and the 2026 DTI news focused on *wind* projects in neighboring Jabonga suggests competing renewable energy interests may divert local government attention and potential incentives away from solar.""]",8.9902238,125.2957173
Magallanes,Agusan del Norte,Region XIII (Caraga),4th,22780,36.83,618.5,4.863,0.3567,3.0,0.4348,0.3243,0.4213,0.6475,MEDIUM,"Magallanes, Agusan del Norte presents as a modest market with sufficient baseline solar resources (est. 1420 kWh/kWp/yr) and a stable population center, but its rural, 4th-class income status indicates limited commercial demand and tighter household budgets, likely focusing initial opportunities on residential and small business segments. Key planning documents for the broader Caraga region, particularly the ANECO Power Supply Plan and Butuan City energy strategies, signal a policy environment that supports distributed solar, which is crucial for market development in Magallanes. Its proximity to Butuan City and existing commercial anchors suggest potential for solar-powered cold storage or agri-processing, though its lower composite geo score warrants careful site-specific analysis.","[""Leverage the explicit mention of the Agusan del Norte Electric Cooperative (ANECO) Power Supply and Procurement Plan 2024 to position solar installations as a strategic solution for improving grid resilience and meeting future supply mandates, targeting the municipality's 2 commercial/industrial anchors and growing businesses (avg rating 4.8) for rooftop or ground-mount systems.""]","[""The relatively low solar irradiance score (0.36) compared to other municipalities in the assessment run could result in less attractive ROI calculations for customers, potentially dampening demand or requiring more aggressive financing models in this lower-income area.""]",9.0237073,125.5185124
